dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_pct_change,djia_pct_change
1990-02-08,23.77,332.959991,176240000.0,2644.37,20.62,2903.800049,0.399546,8.08,3,89.5909539887578,76.8662109375,333.75,-0.23670681647940395,0.1621156854501038
1990-02-09,23.69,333.619995,146910000.0,2648.2,15.59,2893.899902,0.429182,8.02,3,89.5909539887578,69.6951065063477,332.959991,0.19822321535323262,0.14483601008936642
1990-02-12,24.38,330.079987,118390000.0,2619.14,12.42,2894.699951,0.507383,7.99,3,89.5909539887578,110.770576477051,333.619995,-1.0610898786207357,-1.0973491428139859
1990-02-13,23.76,331.019989,144490000.0,2624.1,18.92,2863.600098,0.528852,7.84,3,89.5909539887578,82.2998199462891,330.079987,0.2847800645362941,0.18937513840420195
1990-02-14,22.05,332.01001,138530000.0,2624.32,14.73,2870.399902,0.547903,7.87,3,89.5909539887578,63.878719329834,331.019989,0.2990819385230603,0.008383826835878239
1990-02-15,19.71,334.890015,174620000.0,2649.55,18.18,2910.0,0.564544,7.97,3,89.5909539887578,69.2395858764648,332.01001,0.8674452315458714,0.9613919034264118
1990-02-16,20.78,332.720001,166840000.0,2635.59,23.13,2939.300049,0.578782,7.94,3,89.5909539887578,48.9542045593262,334.890015,-0.647978113053016,-0.5268819233454791
1990-02-20,22.78,327.98999,147300000.0,2596.85,17.46,2980.0,0.614622,8.06,3,89.5909539887578,59.1529960632324,332.720001,-1.4216190748328472,-1.469879609499214
1990-02-21,23.89,327.670013,159240000.0,2583.56,20.68,2862.300049,0.619732,8.01,3,89.5909539887578,62.6701965332031,327.98999,-0.09755694068590559,-0.5117738798929405
1990-02-22,22.54,325.700012,184320000.0,2574.77,21.2,2927.899902,0.623401,7.99,3,89.5909539887578,57.7983436584473,327.670013,-0.601214918009596,-0.3402282122342837
1990-02-23,23.69,324.149994,148490000.0,2564.19,19.6,2894.300049,0.625631,7.93,3,89.5909539887578,41.510871887207,325.700012,-0.4759035747287643,-0.41091048909223105
1990-02-26,23.56,328.670013,148900000.0,2602.48,17.8,2872.600098,0.623647,7.97,3,89.5909539887578,65.2722702026367,324.149994,1.3944220526501017,1.4932590798653722
